GID_0;COUNTRY;NAME_1;GID_1;NAME_2;TYPE_2;GID_2;HASC_2;ADMIN1PCOD;POP2019
CIV;Côte d'Ivoire;Abidjan;CIV.1_1;Abidjan;District autonome;CIV.1.1_1;CI.AB.AB;CI01;5372892
CIV;Côte d'Ivoire;Savanes;CIV.10_1;Bagoué;Région;CIV.10.1_1;CI.SV.BG;CI05;428795
CIV;Côte d'Ivoire;Savanes;CIV.10_1;Poro;Région;CIV.10.2_1;CI.SV.PR;CI28;871809
CIV;Côte d'Ivoire;Savanes;CIV.10_1;Tchologo;Région;CIV.10.3_1;CI.SV.TL;CI31;529739
CIV;Côte d'Ivoire;Vallée du Bandama;CIV.11_1;Gbeke;Région;CIV.11.1_1;CI.VB.GE;CI11;1177794
CIV;Côte d'Ivoire;Vallée du Bandama;CIV.11_1;Hambol;Région;CIV.11.2_1;CI.VB.HB;CI17;490767
CIV;Côte d'Ivoire;Woroba;CIV.12_1;Bafing;Région;CIV.12.1_1;CI.WB.BF;CI04;240004
CIV;Côte d'Ivoire;Woroba;CIV.12_1;Béré;Région;CIV.12.2_1;CI.WB.BR;CI07;444849
CIV;Côte d'Ivoire;Woroba;CIV.12_1;Worodougou;Région;CIV.12.3_1;CI.WB.WR;CI33;310833
CIV;Côte d'Ivoire;Yamoussoukro;CIV.13_1;Yamoussoukro;District autonome;CIV.13.1_1;CI.YM.YM;CI02;405837
CIV;Côte d'Ivoire;Zanzan;CIV.14_1;Bounkani;Région;CIV.14.1_1;CI.ZA.BK;CI08;304940
CIV;Côte d'Ivoire;Zanzan;CIV.14_1;Gontougo;Région;CIV.14.2_1;CI.ZA.GT;CI14;761510
CIV;Côte d'Ivoire;Bas-Sassandra;CIV.2_1;Gbôkle;Région;CIV.2.1_1;CI.BA.GL;CI12;457458
CIV;Côte d'Ivoire;Bas-Sassandra;CIV.2_1;Nawa;Région;CIV.2.2_1;CI.BA.NW;CI26;1201952
CIV;Côte d'Ivoire;Bas-Sassandra;CIV.2_1;San-Pédro;Région;CIV.2.3_1;CI.BA.SP;CI29;943527
CIV;Côte d'Ivoire;Comoé;CIV.3_1;Indénié-Djuablin;Région;CIV.3.1_1;CI.CM.ID;CI20;639662
CIV;Côte d'Ivoire;Comoé;CIV.3_1;Sud Comoé;Région;CIV.3.2_1;CI.CM.SC;CI30;733460
CIV;Côte d'Ivoire;Denguélé;CIV.4_1;Folon;Région;CIV.4.1_1;CI.DE.FO;CI10;110040
CIV;Côte d'Ivoire;Denguélé;CIV.4_1;Kabadougou;Région;CIV.4.2_1;CI.DE.KB;CI21;220701
CIV;Côte d'Ivoire;Gôh-Djiboua;CIV.5_1;Gôh;Région;CIV.5.1_1;CI.GD.GH;CI13;999981
CIV;Côte d'Ivoire;Gôh-Djiboua;CIV.5_1;Lôh-Djiboua;Région;CIV.5.2_1;CI.GD.LD;CI22;832241
CIV;Côte d'Ivoire;Lacs;CIV.6_1;Bélier;Région;CIV.6.1_1;CI.LA.BL;CI06;395784
CIV;Côte d'Ivoire;Lacs;CIV.6_1;Iffou;Région;CIV.6.2_1;CI.LA.IF;CI19;375912
CIV;Côte d'Ivoire;Lacs;CIV.6_1;Moronou;Région;CIV.6.3_1;CI.LA.MN;CI25;378426
CIV;Côte d'Ivoire;Lacs;CIV.6_1;N'zi;Région;CIV.6.4_1;CI.LA.NZ;CI27;282583
CIV;Côte d'Ivoire;Lagunes;CIV.7_1;Agnéby-Tiassa;Région;CIV.7.1_1;CI.LN.AT;CI03;692645
CIV;Côte d'Ivoire;Lagunes;CIV.7_1;Grands Ponts;Région;CIV.7.2_1;CI.LN.GP;CI15;406888
CIV;Côte d'Ivoire;Lagunes;CIV.7_1;La Mé;Région;CIV.7.3_1;CI.LN.ME;CI24;587460
CIV;Côte d'Ivoire;Montagnes;CIV.8_1;Cavally;Région;CIV.8.1_1;CI.MN.CV;CI09;524999
CIV;Côte d'Ivoire;Montagnes;CIV.8_1;Guémon;Région;CIV.8.2_1;CI.MN.GM;CI16;1049357
CIV;Côte d'Ivoire;Montagnes;CIV.8_1;Tonkpi;Région;CIV.8.3_1;CI.MN.TP;CI32;1108720
CIV;Côte d'Ivoire;Sassandra-Marahoué;CIV.9_1;Haut-Sassandra;Région;CIV.9.1_1;CI.SM.HS;CI18;1633258
CIV;Côte d'Ivoire;Sassandra-Marahoué;CIV.9_1;Marahoué;Région;CIV.9.2_1;CI.SM.MH;CI23;984235
